time,V_L1,V_L2,V_L3,freq,I_L1,I_L2,I_L3,p_sum,p_L1,p_L2,p_L3,q_sum,q_L1,q_L2,q_L3,s_sum,s_L1,s_L2,s_L3,pf,pf_L1,pf_L2,pf_L3,eAct_Tot,eAct_L1,eAct_L2,eAct_L3,eReact_Tot,eReact_L1,eReact_L2,eReact_L3
2022-08-05 12:09:38.619527,236.9,0.0,0.0,50.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.46,108.78,0.05,3.63,6.37,1.17,0.07,5.13
2022-08-05 12:09:46.357274,238.0,0.0,0.0,50.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.46,108.78,0.05,3.63,6.37,1.17,0.07,5.13
2022-08-05 12:09:54.057855,237.9,0.0,0.0,50.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.46,108.78,0.05,3.63,6.37,1.17,0.07,5.13
2022-08-05 12:10:01.757982,237.5,0.0,0.0,50.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.46,108.78,0.05,3.63,6.37,1.17,0.07,5.13
2022-08-05 12:10:09.429028,238.1,0.0,0.0,50.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.46,108.78,0.05,3.63,6.37,1.17,0.07,5.13
