time,V_L1,V_L2,V_L3,freq,I_L1,I_L2,I_L3,p_sum,p_L1,p_L2,p_L3,q_sum,q_L1,q_L2,q_L3,s_sum,s_L1,s_L2,s_L3,pf,pf_L1,pf_L2,pf_L3,eAct_Tot,eAct_L1,eAct_L2,eAct_L3,eReact_Tot,eReact_L1,eReact_L2,eReact_L3
2021-11-29 12:39:52.900050,0.0,0.0,231.9,50.02,0.0,0.0,0.3,0.039,0.0,0.0,0.039,-0.007,-0.0,-0.0,-0.007,0.04,0.0,0.0,0.04,0.98,0.0,0.0,0.98,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.0
2021-11-29 12:39:54.939643,0.0,0.0,232.0,50.02,0.0,0.0,0.3,0.04,0.0,0.0,0.04,-0.007,-0.0,-0.0,-0.007,0.041,0.0,0.0,0.041,0.98,0.0,0.0,0.98,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.0
2021-11-29 12:39:56.824549,0.0,0.0,231.9,50.04,0.0,0.0,0.32,0.043,0.0,0.0,0.041,-0.007,-0.0,-0.0,-0.007,0.042,0.0,0.0,0.042,0.98,0.0,0.0,0.98,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.0
2021-11-29 12:39:58.710866,0.0,0.0,232.0,50.03,0.0,0.0,0.19,0.023,0.0,0.0,0.023,-0.007,-0.0,-0.0,-0.007,0.039,0.0,0.0,0.039,0.98,0.0,0.0,0.98,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.0
2021-11-29 12:40:00.611320,0.0,0.0,231.9,50.03,0.0,0.0,0.3,0.04,0.0,0.0,0.04,-0.007,-0.0,-0.0,-0.007,0.041,0.0,0.0,0.041,0.98,0.0,0.0,0.98,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.0
2021-11-29 12:40:02.496423,0.0,0.0,232.1,50.03,0.0,0.0,0.18,0.021,0.0,0.0,0.021,-0.005,-0.0,-0.0,-0.005,0.022,0.0,0.0,0.041,0.98,0.0,0.0,0.98,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.0
